Player,Nation,Pos,Squad,Comp,Age,Born
Aaron Connolly,ie IRL,"FW,MF",Brighton,eng Premier League,21,2000
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,31,1989
Aaron Escandell,es ESP,GK,Granada,es La Liga,25,1995
Aaron Hickey,sct SCO,DF,Bologna,it Serie A,19,2002
Aaron Lennon,eng ENG,"MF,FW",Burnley,eng Premier League,34,1987
Aaron Martin,es ESP,DF,Mainz 05,de Bundesliga,24,1997
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998
Aaron Ramsey,wls WAL,MF,Juventus,it Serie A,30,1990
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,23,1997
Abdel Jalil Medioub,dz ALG,DF,Bordeaux,fr Ligue 1,23,1997
Abdelhamid Sabiri,ma MAR,"MF,FW",Sampdoria,it Serie A,24,1996
Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001
Abdon Prats,es ESP,FW,Mallorca,es La Liga,28,1992
Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996
Abdou Harroui,nl NED,MF,Sassuolo,it Serie A,23,1998
Abdoulaye Bakayoko,fr FRA,DF,Saint-??tienne,fr Ligue 1,18,2002
Abdoulaye Bamba,ci CIV,"DF,FW",Angers,fr Ligue 1,31,1990
Abdoulaye Doucoure,ml MLI,MF,Everton,eng Premier League,28,1993
Abdoulaye Sylla,gn GUI,DF,Nantes,fr Ligue 1,21,2000
Abdoulaye Toure,fr FRA,MF,Genoa,it Serie A,27,1994
Abdourahmane Barry,fr FRA,DF,Greuther F?¬rth,de Bundesliga,21,2000
Abdu Conte,pt POR,DF,Troyes,fr Ligue 1,23,1998
Abdul Majeed Waris,gh GHA,"FW,MF",Strasbourg,fr Ligue 1,29,1991
Aboubakar Sidibe,fr FRA,DF,Clermont Foot,fr Ligue 1,25,1996
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,22,1998
Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997
Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991
Adam Idah,ie IRL,"FW,MF",Norwich City,eng Premier League,20,2001
Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33,1988
Adam Marusic,me MNE,DF,Lazio,it Serie A,28,1992
Adam Masina,ma MAR,DF,Watford,eng Premier League,27,1994
Adam Obert,sk SVK,"DF,MF",Cagliari,it Serie A,18,2002
Adam Ounas,dz ALG,"MF,FW",Napoli,it Serie A,24,1996
Adam Szalai,hu HUN,FW,Mainz 05,de Bundesliga,33,1987
Adam Webster,eng ENG,DF,Brighton,eng Premier League,26,1995
Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,29,1992
Adama Traore,es ESP,"FW,MF",Wolves,eng Premier League,25,1996
Ademola Lookman,ng NGA,"FW,MF",Leicester City,eng Premier League,23,1997
Adil Aouchiche,fr FRA,"MF,FW",Saint-??tienne,fr Ligue 1,19,2002
Adil Rami,fr FRA,DF,Troyes,fr Ligue 1,35,1985
Admir Mehmedi,ch SUI,DF,Wolfsburg,de Bundesliga,30,1991
Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,es La Liga,26,1995
Adri Embarba,es ESP,"FW,MF",Espanyol,es La Liga,29,1992
Adrian Butzke,es ESP,FW,Granada,es La Liga,22,1999
Adrian Fein,de GER,MF,Greuther F?¬rth,de Bundesliga,22,1999
Adrian Grbic,at AUT,"FW,MF",Lorient,fr Ligue 1,24,1996
Adrian Semper,hr CRO,GK,Genoa,it Serie A,23,1998
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995
Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989
Adrien Tameze,cm CMR,"MF,DF",Hellas Verona,it Serie A,27,1994
Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27,1993
Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,19,2001
Afimico Pululu,fr FRA,"FW,MF",Greuther F?¬rth,de Bundesliga,22,1999
Aihen Munoz,es ESP,DF,Real Sociedad,es La Liga,23,1997
Aimar Sher,se SWE,MF,Spezia,it Serie A,18,2002
Aimen Moueffek,fr FRA,MF,Saint-??tienne,fr Ligue 1,20,2001
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,eng Premier League,23,1997
Aissa Mandi,dz ALG,DF,Villarreal,es La Liga,29,1991
Aitor Fernandez,es ESP,GK,Levante,es La Liga,30,1991
Aitor Ruibal,es ESP,"FW,DF",Betis,es La Liga,25,1996
Ajdin Hrustic,au AUS,MF,Eint Frankfurt,de Bundesliga,25,1996
Akim Zedadka,dz ALG,DF,Clermont Foot,fr Ligue 1,26,1995
Alassane Plea,fr FRA,"MF,FW",M'Gladbach,de Bundesliga,28,1993
Alassane Sidibe,ci CIV,MF,Atalanta,it Serie A,19,2002
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999
Albert Gudmundsson,is ISL,"FW,MF",Genoa,it Serie A,24,1997
Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,21,1999
Alberth Elis,hn HON,"FW,MF",Bordeaux,fr Ligue 1,25,1996
Alberto Grassi,it ITA,MF,Cagliari,it Serie A,26,1995
Alberto Moreno,es ESP,"MF,DF",Villarreal,es La Liga,29,1992
Alberto Perea,es ESP,MF,C?­diz,es La Liga,30,1990
Alberto Soro,es ESP,"MF,FW",Granada,es La Liga,22,1999
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989
Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996
Aleix Vidal,es ESP,"DF,MF",Espanyol,es La Liga,31,1989
Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000
Alejandro Balde,es ESP,"DF,FW",Barcelona,es La Liga,17,2003
Alejandro Garnacho,es ESP,"FW,MF",Manchester Utd,eng Premier League,17,2004
Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004
Aleksa Terzic,rs SRB,DF,Fiorentina,it Serie A,21,1999
Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985
Aleksandar Sedlar,rs SRB,"DF,MF",Mallorca,es La Liga,29,1991
Aleksander Buksa,pl POL,FW,Genoa,it Serie A,18,2003
Aleksandr Golovin,ru RUS,"FW,MF",Monaco,fr Ligue 1,25,1996
Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,it Serie A,30,1991
Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,it Serie A,25,1995
