Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64.0,44,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28,92.0,96.0,1.0,0,13,2,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,46.0,1.44,34.0,3.0,2.0,3.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2,1.6,1.7,0.4,20.0,50.0,37.0,9.0,86.0,34,32,2881,0,8,0,0.0,0.06,0.06,0.0,0.06,2.5,0.03,0.05,0.08,0.03,0.08,1130.0,332.0,17.0,5.0,4.0,50,315.0,0.0,0.0,0.0,0.0,7.0,40.0,1817.0,159.0,712.0,696.0,434.0,23.0,1817.0,34.0,68.0,50.0,38.0,23.0,1018.0,40.0,0,27,52,1,44,0.0,2.0,1,154.0,13.0,50.0,20.6
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48.0,27,34.0,14.0,0.0,16.0,32.0,50.0,16.0,50.0,25.0,25.0,68,116.0,104.0,0.0,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0.0,0,0,1.5,1.5,0.08,0.5,0.5,22.0,0.66,17.0,0.0,2.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1284.0,1578.0,81.4,25516.0,9586.0,415.0,469.0,88.5,715.0,787.0,90.9,145.0,266.0,54.5,0,0.9,0.6,-0.9,9.0,95.0,7.0,0.0,96.0,34,34,2983,2,5,1,0.06,0.0,0.06,0.06,0.06,2.4,0.04,0.03,0.07,0.04,0.07,1471.0,101.0,89.0,0.0,32.0,4,9.0,0.0,0.0,0.0,0.0,6.0,26.0,1906.0,212.0,1012.0,839.0,84.0,24.0,1906.0,14.0,18.0,77.8,28.0,13.0,1199.0,10.0,0,39,25,0,27,0.0,1.0,0,195.0,62.0,38.0,62.0
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43.0,23,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42,85.0,15.0,0.0,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0.0,0,0,1.1,1.1,0.06,-0.1,-0.1,50.0,1.83,41.0,0.0,0.0,4.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,1535.0,1701.0,90.2,25518.0,5456.0,748.0,805.0,92.9,655.0,699.0,93.7,108.0,129.0,83.7,0,1.0,0.8,-1.0,17.0,87.0,13.0,1.0,80.0,31,29,2462,1,12,3,0.04,0.0,0.04,0.04,0.04,2.0,0.04,0.04,0.07,0.04,0.07,1678.0,21.0,17.0,1.0,3.0,14,4.0,0.0,0.0,0.0,0.0,2.0,29.0,1943.0,39.0,562.0,1140.0,257.0,15.0,1943.0,26.0,41.0,63.4,42.0,30.0,1477.0,41.0,2,43,37,0,23,0.0,0.0,0,186.0,17.0,20.0,45.9
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110.0,60,44.0,53.0,13.0,71.0,166.0,42.8,95.0,58.0,1.0,57.0,55,165.0,13.0,0.0,0,29,7,24.1,0.88,0.21,0.0,0.0,24.2,0.0,0,0,2.1,2.1,0.07,-2.1,-2.1,83.0,2.53,67.0,2.0,3.0,1.0,7.0,3.0,9.0,0.27,8.0,0.0,0.0,0.0,1.0,0.0,1341.0,1659.0,80.8,23753.0,6845.0,605.0,678.0,89.2,535.0,620.0,86.3,152.0,236.0,64.4,2,4.4,2.6,-2.4,35.0,147.0,23.0,9.0,126.0,34,34,2956,0,9,0,0.0,0.06,0.06,0.0,0.06,6.4,0.06,0.13,0.2,0.06,0.2,1616.0,35.0,25.0,7.0,21.0,37,8.0,2.0,0.0,1.0,0.0,8.0,48.0,2020.0,24.0,405.0,1286.0,358.0,14.0,2020.0,39.0,61.0,63.9,52.0,40.0,1402.0,59.0,0,41,69,1,60,0.0,0.0,0,264.0,11.0,7.0,61.1
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,46.0,0.0,2.0,3.0,66.7,1.0,3.0,33.3,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,8.0,1.0,12.0,0.0,0.0,,3.0,0.0,8.0,3.0,0,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11.0,7,4.0,5.0,2.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,4,15.0,8.0,0.0,0,18,4,22.2,2.23,0.5,0.0,0.0,16.7,0.0,0,0,2.1,2.1,0.12,-2.1,-2.1,15.0,1.85,10.0,0.0,0.0,2.0,2.0,1.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,84.0,137.0,61.3,1009.0,278.0,53.0,78.0,67.9,23.0,36.0,63.9,1.0,3.0,33.3,1,1.4,0.6,-0.4,7.0,5.0,6.0,0.0,15.0,24,5,726,0,3,0,0.0,0.12,0.12,0.0,0.12,3.5,0.26,0.17,0.43,0.26,0.43,129.0,6.0,0.0,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2.0,6.0,243.0,6.0,24.0,106.0,114.0,23.0,243.0,7.0,20.0,35.0,29.0,10.0,156.0,35.0,0,17,11,15,7,0.0,0.0,0,28.0,19.0,30.0,38.8
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,0.0,1.0,0.0,0,2,0,0.0,1.75,0.0,0.0,,9.5,0.0,0,0,0.6,0.6,0.28,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,72.0,15.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7,1,103,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.49,0.0,0.49,0.49,0.49,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,5.0,12.0,3.0,18.0,3.0,6.0,50.0,1.0,3.0,11.0,5.0,0,2,1,0,0,0.0,0.0,0,0.0,0.0,7.0,0.0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27.0,13,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5,32.0,27.0,0.0,17,92,35,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3,3,19.2,16.8,0.18,-2.2,-2.8,94.0,2.74,62.0,1.0,6.0,17.0,7.0,1.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,4,4.9,2.4,-0.9,38.0,35.0,27.0,3.0,53.0,37,36,3084,14,9,0,0.5,0.12,0.61,0.41,0.53,21.8,0.56,0.14,0.7,0.49,0.63,627.0,67.0,6.0,5.0,1.0,16,2.0,0.0,0.0,0.0,0.0,2.0,20.0,1050.0,32.0,73.0,499.0,488.0,173.0,1047.0,38.0,77.0,49.4,86.0,41.0,731.0,187.0,0,38,49,17,13,1.0,1.0,0,68.0,78.0,80.0,49.4
Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6.0,3,3.0,3.0,0.0,2.0,4.0,50.0,2.0,6.0,5.0,1.0,5,11.0,37.0,1.0,0,2,0,0.0,0.32,0.0,0.0,,9.0,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,3.0,0.48,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,191.0,226.0,84.5,3666.0,1177.0,56.0,67.0,83.6,113.0,119.0,95.0,18.0,28.0,64.3,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,8,6,560,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.04,0.04,0.04,216.0,9.0,5.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,285.0,45.0,178.0,105.0,5.0,4.0,285.0,0.0,0.0,,0.0,0.0,180.0,1.0,0,5,4,0,3,0.0,0.0,1,14.0,7.0,14.0,33.3
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25.0,12,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34,59.0,92.0,0.0,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0,0,2.2,2.2,0.15,1.8,1.8,17.0,0.61,13.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,1837.0,2043.0,89.9,34996.0,12274.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,0,0.7,0.8,-0.7,5.0,119.0,6.0,0.0,78.0,30,29,2536,4,2,1,0.14,0.0,0.14,0.14,0.14,2.9,0.08,0.02,0.1,0.08,0.1,1955.0,87.0,77.0,1.0,34.0,3,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2289.0,267.0,1098.0,1141.0,59.0,22.0,2289.0,4.0,6.0,66.7,13.0,4.0,1641.0,10.0,0,18,16,4,12,1.0,0.0,0,162.0,69.0,43.0,61.6
